NAME,B19013_001E,state,county,year
"Lake County, Colorado",50565,08,065,2019
"La Plata County, Colorado",68685,08,067,2019
"Pitkin County, Colorado",78935,08,097,2019
"Rio Grande County, Colorado",39123,08,105,2019
"Bent County, Colorado",30900,08,011,2019
"Crowley County, Colorado",42135,08,025,2019
"San Juan County, Colorado",54625,08,111,2019
"Larimer County, Colorado",71881,08,069,2019
"Logan County, Colorado",53318,08,075,2019
"San Miguel County, Colorado",67038,08,113,2019
"Teller County, Colorado",66592,08,119,2019
"Elbert County, Colorado",99199,08,039,2019
"Las Animas County, Colorado",41817,08,071,2019
"Lincoln County, Colorado",47258,08,073,2019
"Summit County, Colorado",79277,08,117,2019
"Alamosa County, Colorado",37515,08,003,2019
"Delta County, Colorado",45269,08,029,2019
"Fremont County, Colorado",49409,08,043,2019
"Montrose County, Colorado",50489,08,085,2019
"Morgan County, Colorado",53682,08,087,2019
"Saguache County, Colorado",38571,08,109,2019
"Prowers County, Colorado",41929,08,099,2019
"Washington County, Colorado",50094,08,121,2019
"Grand County, Colorado",71198,08,049,2019
"Otero County, Colorado",38169,08,089,2019
"Broomfield County, Colorado",96416,08,014,2019
"Sussex County, Delaware",63162,10,005,2019
"District of Columbia, District of Columbia",86420,11,001,2019
"New Haven County, Connecticut",69905,09,009,2019
"Hartford County, Connecticut",75148,09,003,2019
"Shelby County, Tennessee",51657,47,157,2019
"Henderson County, Tennessee",43305,47,077,2019
"Jefferson County, Tennessee",49139,47,089,2019
"Sequatchie County, Tennessee",49370,47,153,2019
"Carroll County, Tennessee",42637,47,017,2019
"Davidson County, Tennessee",60388,47,037,2019
"Perry County, Tennessee",41034,47,135,2019
"Meigs County, Tennessee",49167,47,121,2019
"Haywood County, Tennessee",37905,47,075,2019
"Montgomery County, Tennessee",57541,47,125,2019
"Grundy County, Tennessee",40516,47,061,2019
"Cocke County, Tennessee",36716,47,029,2019
"DeKalb County, Tennessee",45511,47,041,2019
"Lewis County, Tennessee",37277,47,101,2019
"Obion County, Tennessee",39615,47,131,2019
"Tipton County, Tennessee",61291,47,167,2019
"Dyer County, Tennessee",44185,47,045,2019
"Hamilton County, Tennessee",55070,47,065,2019
"Polk County, Tennessee",43306,47,139,2019
"White County, Tennessee",41998,47,185,2019
"Sullivan County, Tennessee",46684,47,163,2019
"Schoharie County, New York",57714,36,095,2019
"Fulton County, New York",50482,36,035,2019
"Rensselaer County, New York",68991,36,083,2019
"Franklin County, New York",50407,36,033,2019
"Queens County, New York",68666,36,081,2019
"Washington County, New York",57258,36,115,2019
"New York County, New York",86553,36,061,2019
"Cayuga County, New York",58377,36,011,2019
"Rockland County, New York",93024,36,087,2019
"Niagara County, New York",55522,36,063,2019
"Essex County, New York",56763,36,031,2019
"Nassau County, New York",116100,36,059,2019
"Schuyler County, New York",52327,36,097,2019
"Chenango County, New York",52002,36,017,2019
"Jefferson County, New York",52685,36,045,2019
"Suffolk County, New York",101031,36,103,2019
"Wyoming County, New York",58052,36,121,2019
"Oswego County, New York",55967,36,075,2019
"Wayne County, New York",59449,36,117,2019
"Broome County, New York",52226,36,007,2019
"Hinsdale County, Colorado",56339,08,053,2019
"Erie County, New York",58121,36,029,2019
"Sullivan County, New York",57426,36,105,2019
"Orange County, New York",79944,36,071,2019
"Haywood County, North Carolina",51659,37,087,2019
"Forsyth County, North Carolina",51569,37,067,2019
"Lake County, Indiana",56128,18,089,2019
"Montgomery County, Indiana",55522,18,107,2019
"Adams County, Indiana",52504,18,001,2019
"Fayette County, Indiana",46175,18,041,2019
"Clay County, Indiana",55637,18,021,2019
"Dubois County, Indiana",60666,18,037,2019
"Franklin County, Indiana",62462,18,047,2019
"Hancock County, Indiana",74072,18,059,2019
"Howard County, Indiana",52373,18,067,2019
"Ohio County, Indiana",60128,18,115,2019
"Parke County, Indiana",52618,18,121,2019
"Randolph County, Indiana",48036,18,135,2019
