state,county,year,median_household_income,annual_rent
27,171,2019,84974,1298.1501877367646
01,115,2019,58308,1220.3969511109608
01,125,2019,53326,1132.69352726295
01,031,2019,55637,846.0136954043975
04,019,2019,53379,1034.6265781437648
05,045,2019,52827,942.4062131325553
13,135,2019,71026,1335.7369717526901
13,013,2019,62345,1287.3878158745413
13,015,2019,57423,1133.1179341586817
13,097,2019,63835,1207.6189031961374
13,051,2019,56842,1140.1702928218756
13,089,2019,62399,1263.1122971070188
39,099,2019,46042,628.1633690044491
05,007,2019,66362,1015.7641535649253
08,013,2019,83019,1898.9751650198348
08,101,2019,46783,880.3520029507787
08,077,2019,55379,1084.5122895260818
08,041,2019,68779,1282.8634052313307
08,005,2019,77469,1453.229377849035
10,003,2019,73892,1251.3583429165174
10,001,2019,60910,1177.6078907307156
09,005,2019,79906,1020.5427116748862
12,099,2019,63299,1613.3343617219307
12,086,2019,51347,1783.2981660457956
12,071,2019,57832,1262.729115626184
12,021,2019,69653,1725.7620948876474
12,101,2019,52828,1278.2548421210079
12,055,2019,40942,911.1935331762469
12,127,2019,49494,1170.9273409625991
12,033,2019,50915,1033.6267051642687
12,091,2019,63412,1298.4589817283938
13,151,2019,71288,1278.7610799015604
13,021,2019,41334,798.1623524861246
13,179,2019,48007,1012.3320993715901
39,093,2019,58427,827.9221329282327
39,113,2019,51542,827.1632103424021
39,165,2019,87125,1315.4256053986471
40,017,2019,72056,1176.0886235827504
40,031,2019,52161,701.3977265075652
41,029,2019,53412,1219.0443229122616
41,005,2019,80484,1446.2260433445936
13,247,2019,60189,1162.682414866818
13,059,2019,38623,1115.284711182982
13,215,2019,46408,836.2918427927112
13,045,2019,53737,1017.290737632974
13,067,2019,77932,1280.6820739305358
13,217,2019,56316,1168.3707333055852
13,063,2019,47864,1030.8212436787992
13,139,2019,62984,1192.9327918054298
16,019,2019,60615,897.3092777421153
16,027,2019,52134,1032.8159076127724
17,167,2019,61912,771.6327451164725
17,113,2019,67675,829.3876886793915
17,143,2019,55842,751.1218403614179
24,027,2019,121160,1770.9733498076241
24,033,2019,84920,1581.6653555870498
24,003,2019,100798,1694.250930744347
24,005,2019,76866,1317.4569869814675
24,021,2019,97730,1488.160009843421
24,031,2019,108820,1863.9620790115905
02,020,2019,84928,1219.886343996257
04,013,2019,64468,1237.6634016887772
04,015,2019,45587,1032.123932595419
04,005,2019,59460,1444.0803675732068
04,025,2019,52451,1235.352291035548
04,021,2019,58174,1219.0862093889662
05,125,2019,64412,1061.238354917188
05,131,2019,46228,701.4031585152816
19,153,2019,67637,981.5491207313952
19,169,2019,56756,927.0881896914294
19,013,2019,53539,859.4190210700223
19,113,2019,64903,788.0150244995474
19,049,2019,88479,1231.202602729651
20,061,2019,53133,792.1087731258684
24,013,2019,96769,1279.4547733737138
24,037,2019,89845,1284.9477966938887
24,017,2019,100003,1799.773726250176
24,043,2019,60860,855.171935847186
24,045,2019,56956,1085.5665157614
25,025,2019,69669,2619.155899594534
25,017,2019,102603,2293.3489905949577
25,005,2019,69095,1247.3091135127063
25,013,2019,55429,1179.4080122395324
25,009,2019,79263,1808.9394249643435
25,027,2019,74679,1343.9468000988008
26,125,2019,79698,1287.8702840101312
26,139,2019,69314,1122.900959720156
26,021,2019,50795,989.8230972362165
26,065,2019,52872,855.9211141132524
26,163,2019,47301,925.6240162127851
26,049,2019,48588,722.5823197615331
20,173,2019,56524,831.1246325956604
20,045,2019,59435,1048.1622079051042
53,025,2019,55556,1041.5104977451658
53,061,2019,86691,1597.3989981717648
54,061,2019,52455,1082.3719825676253
54,039,2019,46639,789.1458992948986
55,059,2019,63733,1110.0419105377205
26,093,2019,84221,1443.4848093060452
20,209,2019,46881,811.4715331729427
20,103,2019,73013,783.7952063808331
20,161,2019,51208,1034.089331819631
21,111,2019,56586,959.0665865651335
26,077,2019,56511,923.597089290199
26,081,2019,63053,1197.7651742776752
27,053,2019,78167,1465.0697586611689
27,109,2019,76951,1311.3715702184543
27,139,2019,102152,1343.1457766677615
48,157,2019,97743,1510.1664061656381
48,355,2019,55919,1141.2229722791847
48,091,2019,79936,1266.7551404844228
49,049,2019,74665,1297.4741528692218
49,011,2019,83310,1274.4991457286617
21,047,2019,43919,719.867813220343
21,227,2019,52270,908.5614077846609
21,015,2019,78327,1181.3943678069602
21,073,2019,56274,652.0634986812406
21,151,2019,50060,681.8917337199044
27,137,2019,55646,1142.6555468204972
27,003,2019,82175,1255.4385877909465
27,145,2019,62789,924.8191138787894
27,037,2019,86036,1309.1888399881964
27,163,2019,96671,1522.1875268712477
29,077,2019,46086,822.7573720540977
29,099,2019,65454,987.4719637783668
22,033,2019,54948,1060.242720022139
22,051,2019,54032,1153.100056054869
01,081,2019,51463,1038.454039325662
01,073,2019,53901,947.5106897444507
01,117,2019,77799,1210.6320816837842
01,003,2019,58320,1230.1672308803445
01,097,2019,47583,824.1403994956509
22,015,2019,54268,1016.068574182418
22,103,2019,68905,1175.5533525079925
22,017,2019,41797,775.5160580118203
22,005,2019,80527,1389.7894103018918
22,055,2019,56999,1056.8560211860333
22,063,2019,63389,1224.4612918008243
22,071,2019,41604,1294.7602860960262
22,019,2019,51148,929.2709758006885
23,011,2019,55365,856.0948977104421
24,510,2019,50379,1300.3420643345723
24,025,2019,89147,1294.430877974262
31,153,2019,82032,1039.0147443771637
32,031,2019,64791,1423.9496432009653
33,017,2019,72960,1254.8144701677359
34,025,2019,99733,1888.5463455321205
34,013,2019,61510,1571.1227017688989
34,015,2019,87283,1652.4296625954155
34,031,2019,69688,1580.4051729599214
34,003,2019,101144,2022.3866469210195
34,041,2019,81307,1249.5949405405852
34,005,2019,87416,1454.6201408704883
06,097,2019,81018,2102.9858339003426
06,001,2019,99406,2484.257418382679
06,055,2019,88596,2310.834840335245
06,113,2019,70228,1736.0469383394081
06,037,2019,68044,2217.192253506457
06,085,2019,124055,2950.612932144988
08,059,2019,82986,1497.261888068075
08,001,2019,71202,1504.8505616025811
01,101,2019,50124,901.587758194033
01,089,2019,65449,923.3860598669075
47,149,2019,67429,1229.8237991886958
47,189,2019,75991,1336.4849784484475
35,049,2019,61200,1379.613915981333
35,013,2019,40973,964.1358324971147
35,001,2019,53329,961.8472534119146
36,005,2019,40088,2052.93932569143
36,067,2019,61359,1057.2034929396502
36,047,2019,60231,2633.3769246993384
36,091,2019,84291,1208.3278533855798
36,119,2019,96610,2298.750109198729
36,085,2019,82783,1705.4939612717142
36,109,2019,60240,1626.5101521756335
36,027,2019,81219,1324.3657483580048
36,055,2019,60075,1012.4258131895571
36,111,2019,64304,1345.8438533883148
36,001,2019,66252,1158.471565702381
36,093,2019,65499,997.2232867634287
37,097,2019,60955,1178.120534098365
37,119,2019,66641,1288.2334480760283
37,147,2019,47437,955.1682189071367
37,179,2019,80033,1432.259900164917
37,051,2019,46875,860.7237520944933
37,081,2019,53261,928.9739994269712
37,183,2019,80591,1268.1938045308768
37,019,2019,58236,1250.7913935622732
37,135,2019,71723,1331.3960924785722
37,021,2019,52207,1241.415314620237
37,025,2019,67328,1223.5201162653036
37,063,2019,60958,1245.2785782555932
37,129,2019,54891,1152.2306224736396
37,001,2019,49688,914.7930006315006
38,035,2019,54051,862.7945125674509
39,061,2019,57212,1046.052573307447
39,049,2019,61305,1051.0694184136562
39,017,2019,66117,1023.9090503203607
39,089,2019,64589,1079.0080302235638
39,025,2019,66968,1039.3435296999587
39,045,2019,67609,976.5741625965716
39,133,2019,57618,931.4315713611926
39,103,2019,76600,1200.7820961802295
39,095,2019,48736,736.2640335711238
39,151,2019,53860,730.807596355361
39,041,2019,106908,1166.4439339812864
39,085,2019,64466,943.0513497536896
39,035,2019,50366,922.7642083237557
39,109,2019,61041,919.3760184852371
39,155,2019,47280,669.6177843999409
39,173,2019,62390,1122.0569391266592
40,143,2019,55517,939.7250863652529
40,109,2019,54520,944.1568234025984
40,131,2019,65434,1069.6605728592986
40,027,2019,64016,1012.2045311771686
41,047,2019,59625,1166.84221488573
41,017,2019,67043,1554.640771433439
41,071,2019,63902,1327.3903378594875
41,003,2019,62077,1254.9971485213582
41,051,2019,69176,1395.0840024382853
42,049,2019,51529,691.8874961254002
42,027,2019,60403,1341.2524836713906
42,095,2019,70471,1155.8996011787879
